iter	Passed	Remaining
0	34	170154
1	76	189943
2	116	193689
3	155	194624
4	191	190874
5	231	192611
6	269	192374
7	308	192732
8	344	191210
9	383	191484
10	425	192941
11	483	200777
12	522	200349
13	564	200885
14	607	201949
15	647	201581
16	687	201531
17	730	202088
18	773	202904
19	813	202542
20	851	201928
21	893	202259
22	937	202955
23	978	202833
24	1023	203586
25	1059	202721
26	1102	202999
27	1140	202570
28	1175	201422
29	1212	200865
30	1253	200879
31	1295	201149
32	1339	201637
33	1374	200731
34	1414	200679
35	1449	199898
36	1492	200139
37	1533	200279
38	1575	200458
39	1616	200496
40	1659	200663
41	1704	201165
42	1749	201678
43	1786	201261
44	1825	201043
45	1870	201497
46	1911	201486
47	1955	201770
48	1996	201743
49	2032	201247
50	2077	201607
51	2120	201737
52	2158	201495
53	2200	201584
54	2244	201799
55	2288	202002
56	2331	202165
57	2370	201952
58	2414	202197
59	2456	202262
60	2500	202445
61	2541	202412
62	2586	202690
63	2630	202864
64	2675	203120
65	2722	203511
66	2766	203700
67	2810	203880
68	2855	204074
69	2900	204312
70	2942	204283
71	2986	204416
72	3026	204301
73	3067	204195
74	3112	204378
75	3154	204404
76	3183	203518
77	3224	203503
78	3264	203374
79	3302	203078
80	3343	203072
81	3385	203058
82	3427	203073
83	3469	203020
84	3512	203092
85	3554	203108
86	3595	203030
87	3639	203156
88	3683	203275
89	3729	203464
90	3773	203557
91	3820	203791
92	3861	203763
93	3904	203777
94	3943	203630
95	3985	203571
96	4024	203431
97	4069	203569
98	4111	203517
99	4157	203712
100	4199	203676
101	4242	203703
102	4287	203822
103	4331	203918
104	4373	203866
105	4413	203780
106	4453	203674
107	4500	203843
108	4529	203228
109	4575	203384
110	4619	203476
111	4663	203548
112	4708	203653
113	4753	203731
114	4794	203653
115	4833	203503
116	4876	203534
117	4917	203452
118	4961	203488
119	5005	203564
120	5049	203621
121	5090	203534
122	5130	203434
123	5177	203576
124	5220	203604
125	5261	203524
126	5302	203446
127	5344	203434
128	5387	203414
129	5431	203473
130	5472	203402
131	5517	203474
132	5560	203497
133	5604	203507
134	5646	203479
135	5692	203591
136	5730	203418
137	5776	203512
138	5819	203508
139	5863	203560
140	5908	203610
141	5952	203647
142	5993	203562
143	6039	203676
144	6084	203722
145	6125	203642
146	6167	203610
147	6212	203658
148	6256	203692
149	6301	203745
150	6346	203807
151	6391	203868
152	6432	203764
153	6476	203801
154	6522	203882
155	6564	203833
156	6611	203946
157	6653	203900
158	6700	203993
159	6741	203917
160	6787	203996
161	6832	204038
162	6877	204077
163	6919	204029
164	6966	204152
165	7006	204042
166	7051	204060
167	7096	204102
168	7141	204148
169	7186	204177
170	7226	204061
171	7267	203991
172	7312	204030
173	7354	203982
174	7401	204057
175	7444	204060
176	7487	204036
177	7533	204088
178	7579	204143
179	7619	204042
180	7664	204054
181	7707	204043
182	7749	203991
183	7790	203903
184	7829	203770
185	7872	203743
